CPF;Questões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
698.831.740-41;C;B;C;D;D;D;C;D;E;C;B;B;B;B;D;A;C;D;D;E;D;B;D;D;C;E;B;D;A;D;E;E;C;A;E;B;A;B;A;C;C;B;C;E;B;E;D;A;D;E;D;B;A;E;A;C;C;A;C;C
157.145.658-62;B;B;E;C;E;D;D;A;A;B;C;D;D;D;B;B;E;B;A;D;D;B;E;D;D;E;C;A;A;C;A;B;A;E;C;D;D;A;D;A;D;B;D;A;A;D;E;B;B;B;B;C;A;D;B;D;E;C;C;A
030.1018.323-88;C;D;B;A;E;A;E;C;D;A;E;E;D;A;E;A;E;B;A;A;C;A;D;D;B;B;C;C;D;E;D;A;C;D;A;D;A;B;D;C;B;B;C;C;A;B;D;D;E;E;E;C;E;A;D;A;D;E;D;C
911.265.956-17;C;C;C;D;A;D;A;A;E;B;D;A;A;B;C;B;C;A;E;E;B;A;E;E;B;C;D;C;A;E;B;E;C;E;E;E;B;E;C;E;D;B;E;B;C;E;B;A;E;A;B;C;D;D;E;A;B;A;E;D
755.449.445-72;C;D;D;E;A;E;C;A;D;B;D;E;C;A;A;D;B;E;C;A;D;C;A;A;E;D;B;C;E;B;C;E;D;C;D;A;E;C;E;A;D;E;A;A;D;D;B;C;A;A;B;A;E;A;C;E;C;E;B;D
177.312.677-28;D;C;B;B;D;E;A;E;D;C;D;D;E;B;E;C;C;A;E;C;B;A;B;D;E;A;B;A;B;E;C;E;A;B;E;C;D;A;E;A;A;E;B;D;A;C;E;C;C;D;D;A;B;A;E;C;B;B;E;B
246.913.998-102;E;A;B;A;A;A;C;D;D;D;A;C;A;E;A;A;C;B;A;A;D;D;D;D;A;B;B;B;E;C;C;B;B;E;D;B;D;C;C;C;E;C;B;A;B;B;B;B;E;E;D;B;B;E;E;B;A;B;E;B
557.801.099-1010;E;D;C;A;B;D;A;A;C;A;D;E;B;E;D;C;D;D;A;A;B;D;B;A;B;B;C;D;B;A;E;B;A;D;D;B;C;C;C;C;A;B;D;B;A;C;A;D;B;C;C;E;B;D;D;E;C;D;C;D
497.231.9310-47;D;D;C;A;D;B;A;C;B;A;D;A;B;C;D;C;A;A;C;B;C;D;A;C;A;E;C;D;A;E;E;A;D;B;E;E;A;B;B;B;A;D;D;B;E;D;E;D;D;D;D;D;D;A;A;E;C;D;C;D
494.7710.995-48;C;B;D;B;E;C;D;B;A;A;D;A;B;B;B;D;D;A;B;A;C;E;A;A;D;A;E;E;B;C;A;C;D;C;B;E;C;C;B;B;B;D;C;A;A;B;C;C;C;B;E;D;C;D;E;E;E;E;D;A
283.387.1001-67;D;A;B;B;A;C;C;B;C;B;B;C;A;B;D;D;B;C;D;B;D;B;D;B;C;D;A;B;C;A;B;C;D;D;E;D;A;E;B;B;A;D;D;D;A;B;E;C;B;E;E;E;C;B;B;E;B;A;E;A
7710.140.480-62;B;C;B;A;D;D;D;B;E;E;C;E;B;A;B;B;E;D;A;E;C;B;C;E;B;B;B;C;E;C;E;C;C;B;E;E;B;B;D;B;D;D;B;E;E;D;E;C;B;E;E;C;E;A;D;E;C;E;A;E
234.160.287-09;A;A;D;D;A;E;E;B;C;D;B;D;B;B;E;B;D;C;D;A;E;E;B;C;C;E;D;B;E;B;C;A;C;D;E;D;A;A;D;C;B;A;A;D;D;E;E;B;B;A;A;A;D;A;A;B;D;E;D;E
423.140.430-64;E;E;C;C;E;B;B;E;D;B;D;E;B;C;B;B;D;E;A;B;E;C;D;B;D;D;A;C;D;D;C;E;B;C;E;B;E;D;D;A;C;E;C;A;C;C;B;C;C;E;C;C;C;C;B;B;A;A;D;C
196.010.796-100;C;D;C;E;E;C;D;B;A;C;C;B;D;A;D;A;C;D;E;A;D;D;D;E;D;C;A;D;D;A;E;C;A;C;E;D;B;D;E;E;B;C;D;C;B;D;D;B;E;B;B;D;A;E;C;E;E;A;D;A
